financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2015-16,"Less than £1,500",252475.0,36624.0,North East,E12000001
2015-16,No savings,887953.0,307438.0,North East,E12000001
2015-16,"£1,500 but less than £3,000",146921.0,18930.0,North East,E12000001
2015-16,"£10,000 but less than £16,000",134354.0,8754.0,North East,E12000001
2015-16,"£16,000 but less than £20,000",85384.0,7281.0,North East,E12000001
2015-16,"£20,000 or more",302744.0,36354.0,North East,E12000001
2015-16,"£3,000 but less than £8,000",233159.0,37455.0,North East,E12000001
2015-16,"£8,000 but less than £10,000",65062.0,20980.0,North East,E12000001
2015-16,"Less than £1,500",670445.0,143069.0,North West,E12000002
2015-16,No savings,2218002.0,784326.0,North West,E12000002
2015-16,"£1,500 but less than £3,000",431575.0,46648.0,North West,E12000002
2015-16,"£10,000 but less than £16,000",338008.0,40751.0,North West,E12000002
2015-16,"£16,000 but less than £20,000",156685.0,7414.0,North West,E12000002
2015-16,"£20,000 or more",997623.0,84024.0,North West,E12000002
2015-16,"£3,000 but less than £8,000",748590.0,150327.0,North West,E12000002
2015-16,"£8,000 but less than £10,000",196305.0,27283.0,North West,E12000002
2015-16,"Less than £1,500",652744.0,113316.0,Yorkshire and The Humber,E12000003
2015-16,No savings,1394584.0,606519.0,Yorkshire and The Humber,E12000003
2015-16,"£1,500 but less than £3,000",295443.0,24085.0,Yorkshire and The Humber,E12000003
2015-16,"£10,000 but less than £16,000",284917.0,34516.0,Yorkshire and The Humber,E12000003
2015-16,"£16,000 but less than £20,000",79908.0,36186.0,Yorkshire and The Humber,E12000003
2015-16,"£20,000 or more",781335.0,88635.0,Yorkshire and The Humber,E12000003
2015-16,"£3,000 but less than £8,000",610958.0,83797.0,Yorkshire and The Humber,E12000003
2015-16,"£8,000 but less than £10,000",192353.0,9431.0,Yorkshire and The Humber,E12000003
