Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Age of the Youngest Child in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2015-16,North East (E12000001),0 to 4,344181.0,111340.0
2015-16,North East (E12000001),11 to 15,152179.0,41478.0
2015-16,North East (E12000001),16 to 19,65496.0,37422.0
2015-16,North East (E12000001),5 to 10,257100.0,49600.0
2015-16,North East (E12000001),No children in the family,1289096.0,233976.0
2015-16,North West (E12000002),0 to 4,917589.0,325127.0
2015-16,North West (E12000002),11 to 15,412315.0,93585.0
2015-16,North West (E12000002),16 to 19,226694.0,22209.0
2015-16,North West (E12000002),5 to 10,806059.0,174490.0
2015-16,North West (E12000002),No children in the family,3394576.0,668431.0
2015-16,Yorkshire and The Humber (E12000003),0 to 4,780071.0,243680.0
2015-16,Yorkshire and The Humber (E12000003),11 to 15,343414.0,86750.0
2015-16,Yorkshire and The Humber (E12000003),16 to 19,111486.0,26149.0
2015-16,Yorkshire and The Humber (E12000003),5 to 10,507594.0,150424.0
2015-16,Yorkshire and The Humber (E12000003),No children in the family,2549677.0,489482.0
