financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2014-15,"Less than £1,500",260462.0,48565.0,North East,E12000001
2014-15,No savings,900127.0,357307.0,North East,E12000001
2014-15,"£1,500 but less than £3,000",124854.0,2787.0,North East,E12000001
2014-15,"£10,000 but less than £16,000",121778.0,15045.0,North East,E12000001
2014-15,"£16,000 but less than £20,000",41062.0,7270.0,North East,E12000001
2014-15,"£20,000 or more",293735.0,31424.0,North East,E12000001
2014-15,"£3,000 but less than £8,000",261159.0,29319.0,North East,E12000001
2014-15,"£8,000 but less than £10,000",68122.0,9058.0,North East,E12000001
2014-15,"Less than £1,500",686613.0,105899.0,North West,E12000002
2014-15,No savings,2303313.0,919824.0,North West,E12000002
2014-15,"£1,500 but less than £3,000",354991.0,29385.0,North West,E12000002
2014-15,"£10,000 but less than £16,000",341950.0,55934.0,North West,E12000002
2014-15,"£16,000 but less than £20,000",159218.0,7378.0,North West,E12000002
2014-15,"£20,000 or more",960959.0,106365.0,North West,E12000002
2014-15,"£3,000 but less than £8,000",757262.0,76793.0,North West,E12000002
2014-15,"£8,000 but less than £10,000",125098.0,19182.0,North West,E12000002
2014-15,"Less than £1,500",517697.0,68186.0,Yorkshire and The Humber,E12000003
2014-15,No savings,1366393.0,650095.0,Yorkshire and The Humber,E12000003
2014-15,"£1,500 but less than £3,000",374462.0,54643.0,Yorkshire and The Humber,E12000003
2014-15,"£10,000 but less than £16,000",295694.0,24271.0,Yorkshire and The Humber,E12000003
2014-15,"£16,000 but less than £20,000",116888.0,17564.0,Yorkshire and The Humber,E12000003
2014-15,"£20,000 or more",808640.0,84388.0,Yorkshire and The Humber,E12000003
2014-15,"£3,000 but less than £8,000",666003.0,55180.0,Yorkshire and The Humber,E12000003
2014-15,"£8,000 but less than £10,000",137354.0,25025.0,Yorkshire and The Humber,E12000003
