Financial Year,Location in the United Kingdom of the Household of the Individual (please calculate three-year averages - click on i for the correct method),Savings and Investments of Adults in the Family of the Individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_
2016-17,North East (E12000001),"Less than £1,500",243260.0,41656.0
2016-17,North East (E12000001),No savings,882962.0,323973.0
2016-17,North East (E12000001),"£1,500 but less than £3,000",170565.0,14245.0
2016-17,North East (E12000001),"£10,000 but less than £16,000",158202.0,16233.0
2016-17,North East (E12000001),"£16,000 but less than £20,000",59007.0,13538.0
2016-17,North East (E12000001),"£20,000 or more",264452.0,32731.0
2016-17,North East (E12000001),"£3,000 but less than £8,000",274004.0,45835.0
2016-17,North East (E12000001),"£8,000 but less than £10,000",48682.0,1195.0
2016-17,North West (E12000002),"Less than £1,500",788769.0,131650.0
2016-17,North West (E12000002),No savings,2431894.0,896219.0
2016-17,North West (E12000002),"£1,500 but less than £3,000",364214.0,82487.0
2016-17,North West (E12000002),"£10,000 but less than £16,000",366199.0,32622.0
2016-17,North West (E12000002),"£16,000 but less than £20,000",109706.0,7829.0
2016-17,North West (E12000002),"£20,000 or more",871882.0,93791.0
2016-17,North West (E12000002),"£3,000 but less than £8,000",611000.0,85650.0
2016-17,North West (E12000002),"£8,000 but less than £10,000",165240.0,29029.0
2016-17,Yorkshire and The Humber (E12000003),"Less than £1,500",725873.0,121570.0
2016-17,Yorkshire and The Humber (E12000003),No savings,1392427.0,502247.0
2016-17,Yorkshire and The Humber (E12000003),"£1,500 but less than £3,000",264356.0,39622.0
2016-17,Yorkshire and The Humber (E12000003),"£10,000 but less than £16,000",321322.0,43232.0
2016-17,Yorkshire and The Humber (E12000003),"£16,000 but less than £20,000",103265.0,15890.0
2016-17,Yorkshire and The Humber (E12000003),"£20,000 or more",791179.0,112192.0
2016-17,Yorkshire and The Humber (E12000003),"£3,000 but less than £8,000",599615.0,96541.0
2016-17,Yorkshire and The Humber (E12000003),"£8,000 but less than £10,000",163592.0,19021.0
