financial_year,age_of_the_youngest_child_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2016-17,0 to 4,366673.0,106600.0,North East,E12000001
2016-17,11 to 15,142140.0,47403.0,North East,E12000001
2016-17,16 to 19,86396.0,23481.0,North East,E12000001
2016-17,5 to 10,210095.0,79592.0,North East,E12000001
2016-17,No children in the family,1295830.0,232330.0,North East,E12000001
2016-17,0 to 4,948556.0,316713.0,North West,E12000002
2016-17,11 to 15,435924.0,97122.0,North West,E12000002
2016-17,16 to 19,196174.0,31030.0,North West,E12000002
2016-17,5 to 10,741420.0,210815.0,North West,E12000002
2016-17,No children in the family,3386830.0,703597.0,North West,E12000002
2016-17,0 to 4,799149.0,195298.0,Yorkshire and The Humber,E12000003
2016-17,11 to 15,321201.0,84191.0,Yorkshire and The Humber,E12000003
2016-17,16 to 19,130007.0,41976.0,Yorkshire and The Humber,E12000003
2016-17,5 to 10,582344.0,120454.0,Yorkshire and The Humber,E12000003
2016-17,No children in the family,2528928.0,508396.0,Yorkshire and The Humber,E12000003
