financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2018-19,"Less than £1,500",245402.0,35113.0,North East,E12000001
2018-19,No savings,951238.0,352213.0,North East,E12000001
2018-19,"£1,500 but less than £3,000",138235.0,15848.0,North East,E12000001
2018-19,"£10,000 but less than £16,000",87188.0,12180.0,North East,E12000001
2018-19,"£16,000 but less than £20,000",47956.0,7945.0,North East,E12000001
2018-19,"£20,000 or more",333888.0,45239.0,North East,E12000001
2018-19,"£3,000 but less than £8,000",246685.0,37159.0,North East,E12000001
2018-19,"£8,000 but less than £10,000",55748.0,3542.0,North East,E12000001
2018-19,"Less than £1,500",819464.0,154805.0,North West,E12000002
2018-19,No savings,2374227.0,819348.0,North West,E12000002
2018-19,"£1,500 but less than £3,000",371303.0,32310.0,North West,E12000002
2018-19,"£10,000 but less than £16,000",360677.0,45014.0,North West,E12000002
2018-19,"£16,000 but less than £20,000",124785.0,10332.0,North West,E12000002
2018-19,"£20,000 or more",936610.0,140648.0,North West,E12000002
2018-19,"£3,000 but less than £8,000",728805.0,97547.0,North West,E12000002
2018-19,"£8,000 but less than £10,000",145068.0,32296.0,North West,E12000002
2018-19,"Less than £1,500",500657.0,108228.0,Yorkshire and The Humber,E12000003
2018-19,No savings,1396864.0,779570.0,Yorkshire and The Humber,E12000003
2018-19,"£1,500 but less than £3,000",397505.0,54083.0,Yorkshire and The Humber,E12000003
2018-19,"£10,000 but less than £16,000",277956.0,30461.0,Yorkshire and The Humber,E12000003
2018-19,"£16,000 but less than £20,000",129089.0,16794.0,Yorkshire and The Humber,E12000003
2018-19,"£20,000 or more",841972.0,91535.0,Yorkshire and The Humber,E12000003
2018-19,"£3,000 but less than £8,000",547252.0,90743.0,Yorkshire and The Humber,E12000003
2018-19,"£8,000 but less than £10,000",121770.0,19643.0,Yorkshire and The Humber,E12000003
