financial_year,savings_and_investments_of_adults_in_the_family_of_the_individual,not_in_low_income_at_or_above_threshold_,in_low_income_below_threshold_,geography_name,geography_code
2013-14,"Less than £1,500",244045.0,42094.0,North East,E12000001
2013-14,No savings,1049540.0,291612.0,North East,E12000001
2013-14,"£1,500 but less than £3,000",114749.0,6835.0,North East,E12000001
2013-14,"£10,000 but less than £16,000",97943.0,20150.0,North East,E12000001
2013-14,"£16,000 but less than £20,000",54105.0,0.0,North East,E12000001
2013-14,"£20,000 or more",242241.0,24917.0,North East,E12000001
2013-14,"£3,000 but less than £8,000",278832.0,32809.0,North East,E12000001
2013-14,"£8,000 but less than £10,000",54692.0,6012.0,North East,E12000001
2013-14,"Less than £1,500",758012.0,124905.0,North West,E12000002
2013-14,No savings,2374362.0,781721.0,North West,E12000002
2013-14,"£1,500 but less than £3,000",335690.0,50762.0,North West,E12000002
2013-14,"£10,000 but less than £16,000",301896.0,23982.0,North West,E12000002
2013-14,"£16,000 but less than £20,000",139782.0,4585.0,North West,E12000002
2013-14,"£20,000 or more",944043.0,107005.0,North West,E12000002
2013-14,"£3,000 but less than £8,000",831538.0,67031.0,North West,E12000002
2013-14,"£8,000 but less than £10,000",120849.0,15110.0,North West,E12000002
2013-14,"Less than £1,500",583161.0,160713.0,Yorkshire and The Humber,E12000003
2013-14,No savings,1677423.0,535794.0,Yorkshire and The Humber,E12000003
2013-14,"£1,500 but less than £3,000",326991.0,37343.0,Yorkshire and The Humber,E12000003
2013-14,"£10,000 but less than £16,000",271040.0,34599.0,Yorkshire and The Humber,E12000003
2013-14,"£16,000 but less than £20,000",95354.0,5099.0,Yorkshire and The Humber,E12000003
2013-14,"£20,000 or more",714282.0,38425.0,Yorkshire and The Humber,E12000003
2013-14,"£3,000 but less than £8,000",545397.0,47890.0,Yorkshire and The Humber,E12000003
2013-14,"£8,000 but less than £10,000",148976.0,17937.0,Yorkshire and The Humber,E12000003
