geography_code,Number of persons,number_of_children,pensioners,working_age
E06000010,266463.0,17800.0,10336.0,19400.0
E06000011,343143.0,9904.0,9802.0,9492.0
E06000012,157197.0,8363.0,5502.0,7296.0
E06000013,169940.0,7893.0,4982.0,5130.0
E06000014,201672.0,4416.0,3633.0,4456.0
E07000163,57090.0,1327.0,1279.0,1161.0
E07000164,91037.0,1875.0,2007.0,2183.0
E07000165,164105.0,2754.0,2917.0,4172.0
E07000166,50358.0,1217.0,987.0,1085.0
E07000167,54897.0,1409.0,1371.0,1637.0
E07000168,108959.0,3976.0,4029.0,5633.0
E07000169,92401.0,2421.0,1752.0,2646.0
E08000016,244893.0,11432.0,7947.0,15187.0
E08000017,308705.0,16660.0,9387.0,14884.0
E08000018,266183.0,14148.0,8724.0,14202.0
E08000019,554401.0,29665.0,16463.0,26299.0
E08000032,546976.0,55038.0,14046.0,29217.0
E08000033,206818.0,10990.0,5651.0,10865.0
E08000034,433355.0,27839.0,11289.0,23099.0
E08000035,809036.0,39995.0,20022.0,42596.0
E08000036,353802.0,15001.0,10024.0,19608.0
E10000023,618847.0,,,
E12000003,5481431.0,,152150.0,260248.0
E47000002,1374182.0,,,
E47000003,2349987.0,,,
